P_um,N,I_b_nA,fill,n_real,det_rms_nm,det_max_nm,stoch_rms_nm,stoch_max_nm,stoch_p99_nm,stoch_mean_nm
9.0,100,1.0,0.3,30,28.965296086995686,39.53733794530603,1.7844496914499277,2.4356177218335193,2.2672637395909003,1.7685657199780622
9.0,100,1.0,0.5,30,48.26351277673325,65.83244814860873,1.918605031744973,2.5085627952040896,2.37934385915682,1.906883655986109
9.0,100,1.0,0.7,30,67.5915477657423,92.2017847074816,1.7267172607989705,2.3050184725085083,2.1118483820903893,1.715715191704998
9.0,100,5.0,0.3,30,143.26902650362752,197.71158317248572,8.445737327453893,10.976989950254843,10.573740907657648,8.384926100119511
9.0,100,5.0,0.5,30,239.48036025222322,329.91345025056194,9.580721058755312,12.043263943565977,11.746005059486444,9.51619220308806
9.0,100,5.0,0.7,30,335.4416983845934,462.67333398754636,8.371359374610597,10.965827421694007,10.364627813333584,8.31290710985261
9.0,100,10.0,0.3,30,287.4894486349467,395.5871567346349,17.361060607950016,21.559127818218425,21.271435355683533,17.22697510206665
9.0,100,10.0,0.5,30,480.244506552117,660.036224578511,18.9145634011453,24.548125244895356,23.772699219051926,18.770763005008785
9.0,100,10.0,0.7,30,672.6290584917352,924.522122101835,17.061982273844333,23.257632936253263,21.01549510050456,16.950331715483163
9.0,316,1.0,0.3,30,90.35102846585704,126.18645478579367,1.9681299964889982,2.554403238595869,2.4161400764611414,1.9571709641401411
9.0,316,1.0,0.5,30,150.55541778642865,209.97161663607238,2.1989001422846015,2.7791430548794285,2.7469265455417475,2.1866637225903105
9.0,316,1.0,0.7,30,210.62723349016952,293.8744724355767,2.0566518758849557,2.7024235957452416,2.6125624563042695,2.0420475811416154
9.0,316,5.0,0.3,30,455.3828207707764,630.8195286065636,9.85601997571732,12.468302886956282,11.865291765500922,9.800319844895798
9.0,316,5.0,0.5,30,758.7329726523219,1050.7081930927652,10.8408313331748,13.955884777203506,13.201541006647883,10.77524444019508
9.0,316,5.0,0.7,30,1061.8820002114114,1469.3932096462588,10.032001281626416,13.367760020641732,12.191281421658319,9.979315599558241
9.0,316,10.0,0.3,30,911.3330239357546,1259.8305272974671,20.054699469336914,27.004280263976003,25.126596145268014,19.927765699287622
