P_um,N,I_b_nA,fill,n_real,det_rms_nm,det_max_nm,stoch_rms_nm,stoch_max_nm,stoch_p99_nm,stoch_mean_nm
10.0,316,1.0,0.5,30,130.52029650385225,188.7070096555902,1.9396120242628454,2.4162533658404035,2.3532715666406467,1.9301801536844387
10.0,316,1.0,0.7,30,182.5310394732434,264.1238936408546,1.715843530936383,2.164670421518321,2.064271461685922,1.707997091351986
10.0,316,5.0,0.3,30,413.8731485379524,565.2652035582666,8.815442832528687,11.114316710544621,10.95224285704237,8.758119385692344
10.0,316,5.0,0.5,30,689.7275010253642,942.1469533487289,9.486263419927226,12.281270170992492,11.672883321159464,9.428401325635134
10.0,316,5.0,0.7,30,966.37748196799,1320.4353944899365,8.54158511977838,10.92586449773644,10.627689947487248,8.490336725137281
10.0,316,10.0,0.3,30,796.536349451228,1131.8978543406843,17.469133163640677,21.68761517753808,21.088680616817122,17.378335978508606
10.0,316,10.0,0.5,30,1327.974122619447,1887.4349616113916,19.31162603187533,24.77479051417059,24.491167841470567,19.18184443150522
10.0,316,10.0,0.7,30,1859.0316658913923,2644.3642704758236,18.017314253968642,22.615998834823756,21.858685964451592,17.906572615259986
20.0,100,1.0,0.3,30,12.9194940065847,17.787328639995582,0.7789965836866838,0.9554834545354461,0.9389300481104343,0.7747363780085765
20.0,100,1.0,0.5,30,21.536998986266834,29.664348000553417,0.8860089249601749,1.1182428555558912,1.0809684639118378,0.8796152424951087
20.0,100,1.0,0.7,30,30.12307358307254,41.48040719705651,0.8095715315072697,1.0821033130730817,1.0248967193253287,0.8044439973175265
20.0,100,5.0,0.3,30,61.16966039300143,89.18548922700975,3.859403732627972,4.90613283031153,4.657953762261495,3.834360275968249
20.0,100,5.0,0.5,30,102.05357726072258,148.36521818797593,4.267147893935414,5.353262028303519,5.261964792416291,4.231839227623811
20.0,100,5.0,0.7,30,142.93084210129123,208.26110324714082,3.8417859288108116,4.985334636526984,4.831715929163919,3.813613742378033
20.0,100,10.0,0.3,30,128.96096066585343,177.90683932911583,7.810214720551528,9.812952828373724,9.62982321255949,7.759241166628584
20.0,100,10.0,0.5,30,215.13103471767977,296.61789719171895,8.457288135346113,10.809345256350221,10.380893327040589,8.399727595096223
20.0,100,10.0,0.7,30,300.7677024438332,414.0145177185485,7.840081486779843,10.217824803077464,9.672504527044536,7.78670857332526
20.0,316,1.0,0.3,30,40.889048591583716,56.776308904473744,0.875276625390566,1.0904442582158214,1.0689916613771655,0.8706690240932788
20.0,316,1.0,0.5,30,68.2184457023525,94.51176149208429,0.9780525706853411,1.2844154758593516,1.1939427674976257,0.9728520114644932
20.0,316,1.0,0.7,30,95.42917465961324,132.28696272009293,0.8782832169549373,1.0743833259192355,1.0550623559922525,0.8731805173305659
20.0,316,5.0,0.3,30,202.15451442618794,283.10482837538075,4.40241037192446,5.355911412388576,5.315981794146171,4.3804504538513696
20.0,316,5.0,0.5,30,336.6745812493063,472.51766329610757,4.788188974824686,6.0627291521292435,5.816960004402396,4.76353452253065
20.0,316,5.0,0.7,30,471.04053489879914,660.961156184226,4.475813890783696,6.0031450303922895,5.380902315021889,4.451888184998542
