P_um,N,I_b_nA,fill,rms_nm,p99_nm,max_nm,mean_nm,n_eval
5.0,32,1.0,0.5,27.298972239626632,39.2856443052185,42.34704959305434,25.79306918096375,4000
5.0,32,5.0,1.0,271.97853983168534,369.92247478882825,369.9224747888293,257.59706766057786,400
5.0,32,5.0,0.7,189.27322024779193,265.8378931317783,273.3414700949461,178.99750419513597,4000
5.0,32,5.0,0.5,137.10743814217403,194.9825875381802,207.17836277907458,129.61523927277696,4000
5.0,32,10.0,1.0,547.1955309005241,739.7995064987452,739.8449495776586,515.1070547765694,400
5.0,32,10.0,0.7,388.863055035258,540.7310968278837,560.8968128412375,366.30533161598936,4000
5.0,32,10.0,0.5,281.68558351289596,395.90604209692066,417.35322404420856,265.2274141375573,4000
5.0,100,1.0,1.0,173.55966332819906,236.92538010406233,237.10784815470524,163.92394274463075,400
5.0,100,1.0,0.7,120.91952849121334,166.0478610148109,170.84378804251898,114.14870662926319,4000
5.0,100,1.0,0.5,86.56172147151975,118.91411428545165,122.86657993953196,81.7360050549146,4000
5.0,100,5.0,1.0,858.1730331814857,1183.6360488613466,1185.5392407735249,810.3829708497592,400
5.0,100,5.0,0.7,600.9076400745174,829.3603806967781,850.0704935609814,567.6407712281541,4000
5.0,100,5.0,0.5,429.9773718085828,597.5466189411497,613.9844611613966,406.09467117759067,4000
5.0,100,10.0,1.0,1719.9420921678661,2365.9750437111406,2371.0784815470497,1621.67098007006,400
5.0,100,10.0,0.7,1199.2027703125589,1656.6470063578263,1681.723181243316,1130.9083131517013,4000
5.0,100,10.0,0.5,854.8542991219668,1189.0281230745336,1236.1647817920618,805.7814333696757,4000
5.0,316,1.0,1.0,533.5234406563311,749.2384126943888,755.2979675225055,501.2456033080357,400
5.0,316,1.0,0.7,373.1480835580777,524.3011825256582,532.3232379548024,350.5735363913084,4000
5.0,316,1.0,0.5,266.6462877528185,374.59473375384425,381.81100778223276,250.41491182583468,4000
5.0,316,5.0,1.0,2717.9602619181774,3747.315632372005,3776.4898376126152,2561.7160794772144,400
5.0,316,5.0,0.7,1900.5383849465325,2630.645981423848,2656.9376546291764,1791.4771407148237,4000
5.0,316,5.0,0.5,1355.9435887256539,1876.448133451244,1900.8773314968441,1278.1602506018291,4000
5.0,316,10.0,1.0,5354.657050413545,7496.5460313218655,7552.9796752252305,5047.222713962891,400
5.0,316,10.0,0.7,3749.7828538760314,5262.81271607728,5324.450689801152,3534.832731774798,4000
5.0,316,10.0,0.5,2679.429482955972,3764.614628534877,3818.9450706294365,2525.677482395793,4000
10.0,32,1.0,1.0,27.33034590437559,36.989975324937255,36.99224747888293,25.703391311266166,400
10.0,32,1.0,0.7,19.156197995726238,27.00711817666612,28.003213394588492,17.990835832552303,4000
10.0,32,1.0,0.5,13.856008545706288,20.03003909325913,21.32015872475727,13.020315317990821,4000
10.0,32,5.0,1.0,136.31424233146524,184.94976186943637,184.96123739441464,128.42499579341973,400
10.0,32,5.0,0.7,94.46819324086032,133.03999073843886,135.87091810383694,88.85661318132279,4000
10.0,32,5.0,0.5,68.18382259524392,98.27270248345872,105.40135664711703,64.26601420824295,4000
10.0,32,10.0,1.0,270.57229098408396,369.89952373887263,369.9224747888293,254.40197055029597,400
10.0,32,10.0,0.7,188.75763861274368,267.8146069514168,280.27210165677957,177.20117539848235,4000
10.0,32,10.0,0.5,133.33751928659973,196.37387655138923,206.0500306411972,125.16342892935836,4000
10.0,100,1.0,1.0,84.18236793423839,118.41761584829119,118.55392407735262,79.35517070765682,400
10.0,100,1.0,0.7,59.14217799467116,83.45240993216505,85.47455229691701,55.747480265520444,4000
10.0,100,1.0,0.5,42.51094653426219,60.16880486031656,62.09357866003385,40.06304107733665,4000
10.0,100,5.0,1.0,417.26767605598013,591.8180244306743,592.7696203867624,394.10280702817784,400
10.0,100,5.0,0.7,292.39306131054434,415.541800699984,422.7637366131335,275.94945854290046,4000
10.0,100,5.0,0.5,208.81277126303553,297.06442152862155,307.85867126794784,197.0906757246489,4000
10.0,100,10.0,1.0,858.2227733283164,1184.6226002299925,1185.5392407735249,810.6745108604624,400
10.0,100,10.0,0.7,599.8035482689335,830.5784516603986,850.3116571667227,566.0236005042049,4000
10.0,100,10.0,0.5,426.4560121978585,594.1183062136448,610.8269513931227,402.5101921176217,4000
10.0,316,1.0,1.0,267.9118880281377,374.76304497661295,377.64898376125274,253.20533611337726,400
10.0,316,1.0,0.7,187.53981650277214,262.7115600606169,265.9429493838778,177.21426285276937,4000
10.0,316,1.0,0.5,133.98938343255523,187.91292051223888,190.88587772907152,126.6231628403177,4000
10.0,316,5.0,1.0,1369.5645113521866,1870.1601707401533,1888.2449188063076,1299.5977359729063,400
10.0,316,5.0,0.7,959.168242290313,1310.8659333888509,1332.0644011613203,910.2749700243289,4000
10.0,316,5.0,0.5,684.8161086917322,936.4368804959337,956.3830921055153,649.9380034550474,4000
10.0,316,10.0,1.0,2681.97583839506,3755.9919601364377,3776.4898376126152,2529.676037973673,400
10.0,316,10.0,0.7,1880.8668706026817,2635.11374810812,2661.3943233634777,1774.708993154957,4000
10.0,316,10.0,0.5,1342.7412220268072,1883.0199036662573,1905.5420618402964,1266.8425840793627,4000
20.0,32,1.0,1.0,13.57807927378151,18.494987662468628,18.496123739441465,12.740075404495421,400
20.0,32,1.0,0.7,9.407062096691286,13.279902511200664,13.824585196398953,8.828180541685299,4000
20.0,32,1.0,0.5,6.719609986032013,9.826083623720745,10.653252907125216,6.293083417205728,4000
20.0,32,5.0,1.0,67.40899326445368,92.47493831234308,92.48061869720732,63.65116634091745,400
20.0,32,5.0,0.7,47.766373845341924,67.1453662144824,69.39490994943361,45.148291228000346,4000
20.0,32,5.0,0.5,34.02932928782245,48.43349039625238,50.913563299559776,32.16126951447473,4000
20.0,32,10.0,1.0,135.01575863105674,184.9612373944144,184.96123739441464,127.30769057996545,400
20.0,32,10.0,0.7,95.39102472340991,134.6141237863667,138.57711139406138,89.89444255680517,4000
20.0,32,10.0,0.5,68.04009589549169,97.2870951819745,104.26729134750093,64.21927373703681,4000
20.0,100,1.0,1.0,42.32943316549276,59.149531453171804,59.27696203867631,39.930916173923876,400
20.0,100,1.0,0.7,29.636044442502577,41.37496413736888,42.624148913201125,27.948999718296985,4000
20.0,100,1.0,0.5,21.15482244116912,29.67906639858945,30.79806887474991,19.947844017375544,4000
20.0,100,5.0,1.0,209.98058913480972,294.93907044012775,296.3848101933812,197.647933942739,400
20.0,100,5.0,0.7,147.44408090885653,207.4938176951168,212.12724012952597,138.76544750771706,4000
20.0,100,5.0,0.5,105.28721227760838,148.10114234979656,153.94137275722832,99.07923781785237,4000
20.0,100,10.0,1.0,424.6606928833165,590.431646081695,592.7696203867624,402.10478632206406,400
20.0,100,10.0,0.7,296.8608177292164,413.88483402907,421.47731691089956,281.0086942344937,4000
20.0,100,10.0,0.5,212.00236104725795,297.8549100618387,305.5737801144703,200.67797528265862,4000
20.0,316,1.0,1.0,134.76399052458027,186.79308267147513,188.82449188062637,127.32140311341531,400
20.0,316,1.0,0.7,94.38885918397244,130.74353626679664,132.67556528191062,89.16887861936341,4000
